Gene ID;Gene Name or Symbol;Product Description;Variantome;Fraschka;ChIP on ChIP;Our ChIP seq;Likely Variant ;Final LC;Final Customized;Final HC
PF3D7_0103600;N/A;ATP-dependent RNA helicase, putative;;;;;;;;
PF3D7_0103700;PSTK;L-seryl-tRNA(Sec) kinase, putative;;;;;;;;
PF3D7_0103800;ARP1;actin-related protein;;;;;;;;
PF3D7_0103900;PIESP15;parasite-infected erythrocyte surface protein;;;;;;;;
PF3D7_0104000;TRSP;thrombospondin-related sporozoite protein;;;;;;;;
PF3D7_0104100;N/A;conserved Plasmodium membrane protein, unknown function;;;;;;;;
PF3D7_0104200;N/A;StAR-related lipid transfer protein;;;;;;;;
PF3D7_0104300;UBP1;ubiquitin carboxyl-terminal hydrolase 1, putative;;;;;;;;
PF3D7_0104400;LytB;4-hydroxy-3-methylbut-2-enyl diphosphate reductase;;;;;;;;
PF3D7_0104500;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0104600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0104700;MFR2;major facilitator superfamily-related transporter, putative;;;;;;;;
PF3D7_0104800;NPT1;novel putative transporter 1, putative;;;;;;;;
PF3D7_0104900;N/A;RNase MRP;;;;;;;;
PF3D7_0105000;N/A;unspecified product;;;;;;;;
PF3D7_0105100;N/A;conserved Apicomplexan protein, unknown function;;;;;;;;
PF3D7_0105200;N/A;heptatricopeptide repeat and RAP domain-containing protein, putative;;;;;;;;
PF3D7_0105300;CAP;cyclase-associated protein;;;;;;;;
PF3D7_0105400;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0105500;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0105600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0105700;N/A;asparagine-rich antigen Pfa35-2;;;;;;;;
PF3D7_0105800;N/A;cyclin-dependent kinases regulatory subunit, putative;;;;;;;;
PF3D7_0105900;N/A;3'-5' exonuclease, putative;;;;;;;;
PF3D7_0106000;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0106100;N/A;V-type proton ATPase subunit C, putative;;;;;;;;
PF3D7_0106200;N/A;EF hand domain-containing protein, putative;;;;;;;;
PF3D7_0106300;ATP6;calcium-transporting ATPase;;;;;;;;
PF3D7_0106400;N/A;pre-rRNA-processing protein TSR2, putative;;;;;;;;
PF3D7_0106500;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0106600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0106700;AARP2;small ribosomal subunit assembling AARP2 protein;;;;;;;;
PF3D7_0106800;RAB5c;ras-related protein Rab-5C;;;;;;;;
PF3D7_0106900;IspD;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative;;;;;;;;
PF3D7_0107000;CEN1;centrin-1;;;;;;;;
PF3D7_0107100;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0107200;CCR4-3;CCR4 domain-containing protein 3, putative;;;;;;;;
PF3D7_0107300;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0107400;N/A;ATP synthase-associated protein, putative;;;;;;;;
PF3D7_0107500;NCR1;Niemann-Pick type C1-related protein;;;;;;;;
PF3D7_0107600;eIK2;eukaryotic translation initiation factor 2-alpha kinase 2, putative;;;;;;;;
PF3D7_0107700;N/A;dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative;;;;;;;;
PF3D7_0107800;MRE11;double-strand break repair protein MRE11;;;;;;;;
PF3D7_0107900;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0108000;N/A;proteasome subunit beta type-3, putative;;;;;;;;
PF3D7_0108100;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0108300;ARP;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0108400;N/A;mitochondrial carrier protein, putative;;;;;;;;
PF3D7_0108500;N/A;conserved Plasmodium protein, unknown function;YES;;YES;;;YES;YES;YES
PF3D7_0108600;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0108700;PSOP24;secreted ookinete protein, putative;;;;;;;;
PF3D7_0108800;N/A;mitochondrial carrier protein, putative;;;;;;;;
PF3D7_0108900;N/A;unspecified product;;;;;;;;
PF3D7_0109000;PHIL1;photosensitized INA-labeled protein PHIL1;;;;;;;;
PF3D7_0109100;CCp5;LCCL domain-containing protein;;;;;;;;
PF3D7_0109200;CFIM25;cleavage and polyadenylation specificity factor subunit 5, putative;;;;;;;;
PF3D7_0109300;N/A;fatty acid elongation protein, GNS1/SUR4 family, putative;;;;;;;;
PF3D7_0109400;N/A;tubulin-specific chaperone a, putative;;;;;;;;
PF3D7_0109500;N/A;N-acetyltransferase, GNAT family, putative;;;;;;;;
PF3D7_0109600;N/A;cold-shock protein, putative;;;;;;;;
PF3D7_0109700;RRP36;rRNA biogenesis protein RRP36, putative;;;;;;;;
PF3D7_0109800;cPheRS;phenylalanine--tRNA ligase alpha subunit;;;;;;;;
PF3D7_0109850;N/A;phosphatidate cytidylyltransferase, putative;;;;;;;;
PF3D7_0109950;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0110000;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0110100;SELB;selenocysteine-specific elongation factor, putative;;;;;;;;
PF3D7_0110200;ERV1;FAD-linked sulfhydryl oxidase ERV1, putative;;;;;;;;
PF3D7_0110300;N/A;Plasmodium RNA of unknown function RUF5;;;;;;;;
PF3D7_0110400;RPB9;DNA-directed RNA polymerase II subunit RPB9, putative;;;;;;;;
PF3D7_0110500;N/A;bromodomain protein, putative;;;;;;;;
PF3D7_0110600;PIP5K;phosphatidylinositol-4-phosphate 5-kinase;;;;;;;;
PF3D7_0110700;N/A;chromatin assembly factor 1 protein WD40 domain, putative;;;;;;;;
PF3D7_0110800;N/A;transcription initiation factor TFIIB, putative;;;;;;;;
PF3D7_0110900;AKLP1;adenylate kinase-like protein 1;;;;;;;;
PF3D7_0111000;N/A;kinesin-8, putative;;;;;;;;
PF3D7_0111200;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0111300;N/A;P-loop containing nucleoside triphosphate hydrolase, putative;;;;;;;;
PF3D7_0111400;GEXP19;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0111500;N/A;UMP-CMP kinase, putative;;;;;;;;
PF3D7_0111600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0111700;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0111800;N/A;eukaryotic translation initiation factor 4E, putative;;;;;;;;
PF3D7_0111900;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0112000;TatD;TatD-like deoxyribonuclease;;;;;;;;
PF3D7_0112100;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0112200;MRP1;multidrug resistance-associated protein 1;;;;;;;;
PF3D7_0112300;N/A;18S ribosomal RNA;;;;;;;;
PF3D7_0112400;N/A;unspecified product;;;;;;;;
PF3D7_0112500;N/A;5.8S ribosomal RNA;;;YES;;;YES;;
PF3D7_0112600;N/A;unspecified product;YES;;YES;;;YES;YES;YES
PF3D7_0112700;N/A;28S ribosomal RNA;;;YES;;;YES;;
PF3D7_0112800;N/A;Plasmodium exported protein (hyp11), unknown function;;;;;;;;
PF3D7_0112900;N/A;Plasmodium exported protein, unknown function;YES;;;;;YES;;
PF3D7_0113000;GARP;glutamic acid-rich protein GARP;YES;;;;;YES;;
PF3D7_0113100;SURF1.1;surface-associated interspersed protein 1.1 (SURFIN 1.1);;;YES;;;YES;;
PF3D7_0113200;N/A;Plasmodium exported protein, unknown function;;YES - HC;YES;;;YES;YES;YES
PF3D7_0113300;N/A;Plasmodium exported protein (hyp1), unknown function;;;;;;;;
PF3D7_0113400;N/A;Plasmodium exported protein, unknown function;;;;;;;;
PF3D7_0113600;SURF1.2;surface-associated interspersed protein 1.2 (SURFIN 1.2), pseudogene;;;YES;;;YES;;
PF3D7_0113700;HSP40;heat shock protein 40, type II;;;;YES;;YES;YES;
PF3D7_0113800;N/A;DBL containing protein, unknown function;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0113900;CBP1;CX3CL1-binding protein 1;;;;;;;;
PF3D7_0114000;EPF1;exported protein family 1;;;YES;YES;YES;YES;YES;YES
PF3D7_0114100;MC-2TM;Pfmc-2TM Maurer's cleft two transmembrane protein;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0114200;EPF3;exported protein family 3;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0114300;EPF4;exported protein family 4, pseudogene;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0114400;VAR;erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0114500;N/A;Plasmodium exported protein (hyp10), unknown function;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0114600;N/A;stevor, pseudogene;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0114700;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0114800;N/A;Plasmodium exported protein (hyp7), unknown function;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0114900;N/A;Plasmodium exported protein, unknown function, pseudogene;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0115000;SURF1.3;surface-associated interspersed protein 1.3 (SURFIN 1.3);;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0115050;N/A;H/ACA snoRNA;;;;YES;;YES;YES;
PF3D7_0115100;N/A;Plasmodium exported protein (PHISTa), unknown function;;YES - LC;YES;YES;;YES;YES;YES
PF3D7_0115150;N/A;Plasmodium exported protein, unknown function, pseudogene;;;;YES;;YES;YES;
PF3D7_0115200;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0115300;RIF;rifin;;YES - HC;;YES;YES;YES;YES;YES
PF3D7_0115400;N/A;stevor;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0115500;N/A;erythrocyte membrane protein 1 (PfEMP1), pseudogene;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0115600;RIF;rifin;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0115700;VAR;erythrocyte membrane protein 1, PfEMP1;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0200100;VAR;erythrocyte membrane protein 1, PfEMP1;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0200200;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0200300;N/A;erythrocyte membrane protein 1 (PfEMP1), exon 2;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0200400;N/A;stevor;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0200500;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0200600;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0200700;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0200800;N/A;erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0200900;N/A;stevor, pseudogene;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0201000;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0201100;N/A;Plasmodium exported protein, unknown function, fragment;;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0201200;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0201300;N/A;stevor;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0201400;N/A;Plasmodium exported protein (hyp10), unknown function;;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0201500;N/A;Plasmodium exported protein (hyp9), unknown function;;;;;;;;
PF3D7_0201600;RLP1;PHISTb domain-containing RESA-like protein 1;;;;;;;;
PF3D7_0201700;N/A;DnaJ protein, putative;;;;;;;;
PF3D7_0201800;KAHsp40;knob associated heat shock protein 40;;;;;;;;
PF3D7_0201900;EMP3;erythrocyte membrane protein 3;;;;;;;;
PF3D7_0202000;KAHRP;knob-associated histidine-rich protein;;;;;;;;
PF3D7_0202100;LSAP2;liver stage associated protein 2;YES;YES - HC;;;;YES;YES;YES
PF3D7_0202200;PTP1;EMP1-trafficking protein;;;;;;;;
PF3D7_0202300;N/A;Plasmodium exported protein (hyp11), unknown function;;;;;;;;
PF3D7_0202400;PTEF;translation-enhancing factor;YES;;;;;YES;;
PF3D7_0202500;ETRAMP2;early transcribed membrane protein 2;;;;;;;;
PF3D7_0202600;N/A;nucleic acid binding protein, putative;;;;;;;;
PF3D7_0202700;OPP;octaprenyl pyrophosphate synthase;;;;;;;;
PF3D7_0202800;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0202900;DHHC12;palmitoyltransferase DHHC12, putative;;;;;;;;
PF3D7_0203000;ROPE;repetitive organellar protein, putative;;;;;;;;
PF3D7_0203100;N/A;protein kinase, putative;;;;;;;;
PF3D7_0203200;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0203300;ERCC1;ERCC1 nucleotide excision repair protein, putative;;;;;;;;
PF3D7_0203400;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0203500;N/A;tRNA Glutamine;YES;;;;;YES;;
PF3D7_0203600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0203700;MAK16;protein MAK16, putative;;;;;;;;
PF3D7_0203800;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0203900;N/A;5'-3' exonuclease, N-terminal resolvase-like domain, putative;;;;;;;;
PF3D7_0204000;N/A;condensin-2 complex subunit H2, putative;;;;;;;;
PF3D7_0204100;N/A;Sel1 repeat-containing protein, putative;;;;;;;;
PF3D7_0204200;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0204300;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0204400;N/A;dynein light chain, putative;;;;;;;;
PF3D7_0204500;AspAT;aspartate transaminase;;;;;;;;
PF3D7_0204600;N/A;5'-3' exonuclease, putative;;;;;;;;
PF3D7_0204700;HT;hexose transporter;;;;;;;;
PF3D7_0204800;N/A;3'-5' exonuclease, putative;;;;;;;;
PF3D7_0204900;COQ5;2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial, putative;;;;;;;;
PF3D7_0205000;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0205100;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0205200;N/A;MORN repeat protein, putative;;;;;;;;
PF3D7_0205300;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0205400;N/A;PCI domain-containing protein, putative;;;;;;;;
PF3D7_0205500;N/A;DNA-directed RNA polymerase II 16 kDa subunit, putative;;;;;;;;
PF3D7_0205600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0205700;N/A;RNA-binding protein, putative;;;;;;;;
PF3D7_0205800;PH1;PH domain-containing protein, putative;;;;;;;;
PF3D7_0205900;RPN1;26S proteasome regulatory subunit RPN1, putative;;;;;;;;
PF3D7_0206000;RAD2;DNA repair protein RAD2, putative;;;;;;;;
PF3D7_0206100;SufE;cysteine desulfuration protein SufE;;;;;;;;
PF3D7_0206200;PAT;pantothenate transporter;;;;;;;;
PF3D7_0206300;AROM;pentafunctional AROM polypeptide, putative, pseudogene;;;;;;;;
PF3D7_0206500;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0206600;N/A;DNA-directed RNA polymerase III subunit RPC10, putative;;;;;;;;
PF3D7_0206700;ADSL;adenylosuccinate lyase;;;;;;;;
PF3D7_0206800;MSP2;merozoite surface protein 2;;;;;;;;
PF3D7_0206900;MSP5;merozoite surface protein 5;;;;;;;;
PF3D7_0207000;MSP4;merozoite surface protein 4;;;;;;;;
PF3D7_0207100;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0207200;IscA1;iron-sulfur assembly protein, putative;;;;;;;;
PF3D7_0207300;SERA8;serine repeat antigen 8;;;;;;;;
PF3D7_0207400;SERA7;serine repeat antigen 7;;;;;;;;
PF3D7_0207500;SERA6;serine repeat antigen 6;;;;;;;;
PF3D7_0207600;SERA5;serine repeat antigen 5;;;;;;;;
PF3D7_0207700;SERA4;serine repeat antigen 4;;;;;;;;
PF3D7_0207800;SERA3;serine repeat antigen 3;;;;;;;;
PF3D7_0207900;SERA2;serine repeat antigen 2;;;;;;;;
PF3D7_0208000;SERA1;serine repeat antigen 1;;;;;;;;
PF3D7_0208100;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0208200;KRR1;KRR1 small subunit processome component, putative;;;;;;;;
PF3D7_0208300;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0208400;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0208500;ACP;acyl carrier protein;;;;;;;;
PF3D7_0208600;RRF1;ribosome-recycling factor;;;;;;;;
PF3D7_0208700;N/A;conserved Plasmodium protein, unknown function, unspecified product;;;;;;;;
PF3D7_0208800;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0208900;P230p;6-cysteine protein P230p;;;;YES;;YES;YES;
PF3D7_0209000;P230;6-cysteine protein P230;YES;YES - LC;YES;YES;;YES;YES;YES
PF3D7_0209100;N/A;patatin-like phospholipase, putative;;;;;;;;
PF3D7_0209200;MTR3;exosome complex component MTR3, putative;;;;;;;;
PF3D7_0209300;IspF;2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;;;;;;;;
PF3D7_0209400;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0209500;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0209600;N/A;transporter, putative;;;;;;;;
PF3D7_0209700;N/A;RING zinc finger protein, putative;;;;;;;;
PF3D7_0209800;UAP56;ATP-dependent RNA helicase UAP56;;;;;;;;
PF3D7_0209900;N/A;unspecified product;;;;;;;;
PF3D7_0210000;Sec61-gamma;secretory complex protein 61 gamma subunit;;;;;;;;
PF3D7_0210100;N/A;60S ribosomal protein L37ae, putative;;;;;;;;
PF3D7_0210200;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0210300;N/A;monocarboxylate transporter, putative;;;;;;;;
PF3D7_0210400;N/A;50S ribosomal protein L33, putative;;;;;;;;
PF3D7_0210500;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0210600;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0210700;SYN17;syntaxin, Qa-SNARE family;;;;;;;;
PF3D7_0210800;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0210900;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0211000;N/A;unspecified product;;;;;;;;
PF3D7_0211100;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0211200;RAB5a;ras-related protein Rab-5A;;;;;;;;
PF3D7_0211300;N/A;ubiquinol-cytochrome-c reductase complex assembly factor 1, putative;;;;;;;;
PF3D7_0211400;KASIII;beta-ketoacyl-ACP synthase III;;;;;;;;
PF3D7_0211500;N/A;GAF domain-related protein, putative;;;;;;;;
PF3D7_0211600;ALG14;UDP-N-acetylglucosamine transferase subunit ALG14, putative;;;;;;;;
PF3D7_0211700;TKL1;tyrosine kinase-like protein, putative;;;;;;;;
PF3D7_0211800;AsnRS;asparagine--tRNA ligase;;;;;;;;
PF3D7_0211900;N/A;pseudouridine synthase, putative;;;;;;;;
PF3D7_0212000;N/A;GDP-fructose:GMP antiporter, putative;;;;;;;;
PF3D7_0212100;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0212200;N/A;ribosomal protein L12, mitochondrial, putative;;;;;;;;
PF3D7_0212300;N/A;peptide chain release factor subunit 1, putative;;;;;;;;
PF3D7_0212400;N/A;conserved Plasmodium membrane protein, unknown function;;;;;;;;
PF3D7_0212500;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0212600;SPATR;secreted protein with altered thrombospondin repeat domain;;;;;;;;
PF3D7_0212700;N/A;SRR1-like protein;;;;;;;;
PF3D7_0212800;MATE;multidrug efflux pump, putative;;;;;;;;
PF3D7_0212900;ATEL1;arginyl-tRNA--protein transferase;;;;;;;;
PF3D7_0213000;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0213100;SIS1;protein SIS1;;;;;;;;
PF3D7_0213200;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0213300;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0213400;PK7;protein kinase 7;;;;;;;;
PF3D7_0213500;N/A;tetratricopeptide repeat protein, putative;;;;;;;;
PF3D7_0213600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0213700;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0213800;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0213900;N/A;RTR1 domain-containing protein, putative;;;;;;;;
PF3D7_0214000;CCT8;T-complex protein 1 subunit theta;;;;;;;;
PF3D7_0214100;SEC31;protein transport protein SEC31;;;;;;;;
PF3D7_0214200;mRPL13;ribosomal protein L13, mitochondrial;;;;;;;;
PF3D7_0214300;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0214400;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0214500;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0214600;N/A;serine/threonine protein kinase, putative;;;;;;;;
PF3D7_0214700;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0214800;N/A;conserved Plasmodium membrane protein, unknown function;;;;;;;;
PF3D7_0214900;RON6;rhoptry neck protein 6;;;;;;;;
PF3D7_0215000;ACS9;acyl-CoA synthetase;;;;;;;;
PF3D7_0215100;N/A;RING zinc finger protein, putative;;;;;;;;
PF3D7_0215200;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0215300;ACS8;acyl-CoA synthetase;;;;YES;;YES;YES;
PF3D7_0215400;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0215500;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0215600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0215700;RPB2;DNA-directed RNA polymerase II subunit RPB2, putative;;;;;;;;
PF3D7_0215800;ORC5;origin recognition complex subunit 5;;;;;;;;
PF3D7_0215900;DHHC11;palmitoyltransferase DHHC11, putative;;;;;;;;
PF3D7_0216000;N/A;DEAD/DEAH box helicase, putative;;;;;;;;
PF3D7_0216100;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0216200;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0216300;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0216400;VPS45;vacuolar protein sorting-associated protein 45;;;;;;;;
PF3D7_0216500;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0216600;N/A;MtN3-like protein;;;;;;;;
PF3D7_0216700;ATG11;autophagy-related protein 11, putative;;;;;;;;
PF3D7_0216800;N/A;TMEM121 domain-containing protein, putative;;;;;;;;
PF3D7_0216900;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0217000;N/A;conserved Plasmodium membrane protein, unknown function;;;;;;;;
PF3D7_0217100;N/A;ATP synthase subunit alpha, mitochondrial;;;;;;;;
PF3D7_0217200;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0217300;AP2S;AP-2 complex subunit sigma, putative;;;;;;;;
PF3D7_0217400;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0217500;CDPK1;calcium-dependent protein kinase 1;;;;;;;;
PF3D7_0217600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0217700;N/A;E2F-associated phosphoprotein, putative;;;;;;;;
PF3D7_0217800;RPS26;40S ribosomal protein S26;;;;;;;;
PF3D7_0217900;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0218000;RFC2;replication factor C subunit 2, putative;;;;;;;;
PF3D7_0218100;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0218200;N/A;SUZ domain-containing protein, putative;;;;;;;;
